Source,Translation,Context
Helpful,Hữu ích,
Not Helpful,Không hữu ích,
Report Review,Báo cáo đánh giá,
# ---- Web shop ----
Item Variant Settings,Cài đặt biến thể,
Attribute Value,Giá trị thuộc tính,
Variant of,Biến thể của,
Has Variants,Có biến thể,
Product Filter,Bộ lọc sản phẩm,
Product Search,Tìm kiếm sản phẩm,
Recommended Products,Sản phẩm gợi ý,
Related Products,Sản phẩm liên quan,
Best Sellers,Bán chạy nhất,
New Arrivals,Hàng mới về,
On Sale,Đang giảm giá,
Sold Out,Hết hàng,
Add to Cart,Thêm vào giỏ,
Add to Wishlist,Thêm vào yêu thích,
Add to Compare,Thêm để so sánh,
View Cart,Xem giỏ hàng,
Quick View,Xem nhanh,
Continue Shopping,Tiếp tục mua sắm,
Proceed to Checkout,Tiếp tục thanh toán,
Your Cart,Giỏ hàng của bạn,
Cart Total,Tổng giỏ hàng,
Subtotal Cart,Tạm tính,
Shipping Cost,Chi phí vận chuyển,
Shipping Method,Phương thức vận chuyển,
Standard Shipping,Vận chuyển tiêu chuẩn,
Express Shipping,Vận chuyển nhanh,
Free Shipping,Miễn phí vận chuyển,
Pickup in Store,Nhận tại cửa hàng,
Home Delivery,Giao tận nhà,
Delivery Charge,Phí giao hàng,
Minimum Order,Đơn hàng tối thiểu,
Free Shipping Over,Miễn phí VC từ,
Promo Code Applied,Đã áp dụng mã KM,
Apply Promo Code,Áp dụng mã KM,
Order Summary,Tóm tắt đơn hàng,
Order Number Web,Số đơn hàng,
Order Status Web,Trạng thái đơn,
Track Order,Theo dõi đơn,
Thank You for Your Order,Cảm ơn bạn đã đặt hàng,
Order Received,Đã nhận đơn hàng,
Order Processed,Đã xử lý đơn hàng,
Order Shipped,Đã giao hàng,
Order Delivered,Đã nhận hàng,
Order Cancelled Web,Đã hủy đơn,
# ---- Wishlist ----
Wishlist,Danh sách yêu thích,
My Wishlist,Yêu thích của tôi,
Remove from Wishlist,Xóa khỏi yêu thích,
# ---- Blog ----
Blog,Blog,
All Posts,Tất cả bài viết,
Latest Posts,Bài viết mới nhất,
Popular Posts,Bài viết phổ biến,
Post Title,Tiêu đề bài viết,
Post Author,Tác giả,
Post Date,Ngày đăng,
Post Content,Nội dung bài viết,
Blog Comment,Bình luận blog,
Comment Author,Tác giả bình luận,
Comment Date,Ngày bình luận,
Leave a Comment,Để lại bình luận,
Post Comment,Đăng bình luận,
# ---- Search ----
Search Results,Kết quả tìm kiếm,
Related Results,Kết quả liên quan,
Popular Searches,Tìm kiếm phổ biến,
Recent Searches,Tìm kiếm gần đây,
Advanced Search,Tìm kiếm nâng cao,
Sort Results,Sắp xếp kết quả,
Relevance,Độ liên quan,
Newest,Mới nhất,
Oldest,Cũ nhất,
Price Low to High,Giá thấp đến cao,
Price High to Low,Giá cao đến thấp,
Popularity,Độ phổ biến,
Best Rated,Đánh giá cao nhất,
# ---- Contact forms ----
Contact Form,Biểu mẫu liên hệ,
Your Name,Tên của bạn,
Your Email,Email của bạn,
Your Phone,Số điện thoại của bạn,
Your Message,Tin nhắn của bạn,
Send Message,Gửi tin nhắn,
Send Request,Gửi yêu cầu,
We will get back to you,Chúng tôi sẽ liên lạc lại với bạn,
Thank You for Contacting Us,Cảm ơn bạn đã liên hệ,
# ---- Newsletter signup ----
Subscribe to Newsletter,Đăng ký nhận bản tin,
Enter Your Email,Nhập email của bạn,
Thank You for Subscribing,Cảm ơn bạn đã đăng ký,
Already Subscribed,Bạn đã đăng ký rồi,
# ======================================================================
# BATCH 7: Accounting Specific + Vietnam
# ======================================================================
Journal Entry Number,Số bút toán,
Journal Entry Date,Ngày bút toán,
Journal Entry Type,Loại bút toán,
JE Number,Số bút toán,
Bank Entry,Bút toán ngân hàng,
Cash Entry,Bút toán tiền mặt,
Credit Note Entry,Bút toán ghi có,
Debit Note Entry,Bút toán ghi nợ,
Contra Entry,Bút toán đối ứng,
Excise Entry,Bút toán thuế tiêu thụ đặc biệt,
Write Off Entry,Bút toán xóa nợ,
Opening Entry Type,Bút toán khai báo số dư đầu kỳ,
Exchange Rate Revaluation,Định giá lại tỷ giá,
Manual Journal Entry,Bút toán thủ công,
Credit in Account Currency,Có theo tiền TK,
Debit in Account Currency,Nợ theo tiền TK,
Account Total,Tổng tài khoản,
Difference in Account,Chênh lệch tài khoản,
Multi Currency,Đa tiền tệ,
Multi Currency Journal,Bút toán đa tiền tệ,
Apply Exchange Rate,Áp dụng tỷ giá,
Exchange Rate Gain,Lãi tỷ giá,
Exchange Rate Loss,Lỗ tỷ giá,
Realized Gain,Lãi thực hiện,
Realized Loss,Lỗ thực hiện,
Unrealized Gain,Lãi chưa thực hiện,
Unrealized Loss,Lỗ chưa thực hiện,
# ---- Fiscal / accounting period ----
Fiscal Year Start Date,Ngày bắt đầu năm TC,
Fiscal Year End Date,Ngày kết thúc năm TC,
Current Fiscal Year,Năm tài chính hiện tại,
Previous Fiscal Year,Năm tài chính trước,
Next Fiscal Year,Năm tài chính sau,
Accounting Period Start,Bắt đầu kỳ kế toán,
Accounting Period End,Kết thúc kỳ kế toán,
Period Closing,Kết chuyển kỳ,
Period Closed,Đã kết chuyển,
Period Open,Đang mở kỳ,
Closing Account,Tài khoản kết chuyển,
Closing Date Accounting,Ngày kết chuyển,
Closing Entry Accounting,Bút toán kết chuyển,
Opening Stock,Tồn kho đầu kỳ,
Closing Stock,Tồn kho cuối kỳ,
Opening Cash,Tiền mặt đầu kỳ,
Closing Cash,Tiền mặt cuối kỳ,
Opening Bank,Ngân hàng đầu kỳ,
Closing Bank,Ngân hàng cuối kỳ,
Opening AR,Phải thu đầu kỳ,
Closing AR,Phải thu cuối kỳ,
Opening AP,Phải trả đầu kỳ,
Closing AP,Phải trả cuối kỳ,
# ---- Vietnam specific accounting ----
Voucher Book,Sổ chứng từ,
Sub Book,Sổ chi tiết,
General Book,Sổ tổng hợp,
General Diary,Nhật ký chung,
Cash Diary,Sổ nhật ký quỹ,
Bank Diary,Sổ tiền gửi ngân hàng,
Sales Diary,Sổ nhật ký bán hàng,
Purchase Diary,Sổ nhật ký mua hàng,
Receivable Book,Sổ công nợ phải thu,
Payable Book,Sổ công nợ phải trả,
Inventory Book,Sổ kho,
Detail Book,Sổ chi tiết,
Summary Book,Sổ cái,
Account Summary,Tài khoản tổng hợp,
Balance Sheet VN,Bảng cân đối kế toán,
Statement of Financial Position,Báo cáo tình hình tài chính,
Income Statement,Báo cáo kết quả kinh doanh,
Statement of Changes in Equity,Báo cáo thay đổi vốn chủ sở hữu,
Notes to Financial Statements,Thuyết minh BCTC,
Financial Report,Báo cáo tài chính,
Financial Statements,Báo cáo tài chính,
Monthly Report,Báo cáo tháng,
Quarterly Report,Báo cáo quý,
Annual Report,Báo cáo năm,
# ---- Tax Vietnam ----
Tax Declaration,Tờ khai thuế,
VAT Declaration,Tờ khai thuế GTGT,
PIT Declaration,Tờ khai thuế TNCN,
CIT Declaration,Tờ khai thuế TNDN,
Monthly Tax Declaration,Tờ khai thuế tháng,
Quarterly Tax Declaration,Tờ khai thuế quý,
Annual Tax Declaration,Tờ khai thuế năm,
Tax Submission Date,Ngày nộp tờ khai,
Tax Submission Status,Trạng thái nộp tờ khai,
Tax Paid,Thuế đã nộp,
Tax Due,Thuế phải nộp,
Tax Refund,Hoàn thuế,
Tax Refund Amount,Số tiền hoàn thuế,
Overpaid Tax,Thuế nộp thừa,
Underpaid Tax,Thuế nộp thiếu,
Tax Adjustment,Điều chỉnh thuế,
Tax Penalty,Phạt thuế,
Late Payment Tax,Chậm nộp thuế,
Tax Invoice Number,Số hóa đơn thuế,
Tax Invoice Date,Ngày hóa đơn thuế,
Tax Office,Cơ quan thuế,
Tax Office Code,Mã cơ quan thuế,
Tax Authority Code,Mã cơ quan thuế,
Business License,Giấy phép kinh doanh,
Business License Number,Số GPKD,
Business Registration,Đăng ký kinh doanh,
Business Sector,Lĩnh vực kinh doanh,
Industry Code,Mã ngành,
Industry Classification,Phân loại ngành,
# ---- Vietnam forms ----
Invoice Form 01,Mẫu hóa đơn 01,
Invoice Form 02,Mẫu hóa đơn 02,
Delivery Form 01,Mẫu phiếu xuất 01,
Delivery Form 02,Mẫu phiếu xuất 02,
Payment Form 01,Mẫu phiếu thu 01,
Payment Form 02,Mẫu phiếu chi 02,
Stock Form 01,Mẫu phiếu kho 01,
# ---- Company information VN ----
Legal Name,Tên pháp lý,
Short Name,Tên viết tắt,
Trading Name,Tên thương mại,
Registered Address,Địa chỉ đăng ký,
Head Office,Trụ sở chính,
Branch Office,Văn phòng chi nhánh,
Representative Office,Văn phòng đại diện,
Factory,Nhà máy,
Plant,Nhà máy,
Store,Cửa hàng,
Outlet,Cửa hàng,
Legal Representative,Người đại diện pháp luật,
Director,Giám đốc,
CEO,Tổng giám đốc,
CFO,Giám đốc tài chính,
COO,Giám đốc vận hành,
CTO,Giám đốc công nghệ,
Founder,Người sáng lập,
Owner Business,Chủ doanh nghiệp,
Shareholder,Cổ đông,
Shareholders,Cổ đông,
Board of Directors,Hội đồng quản trị,
Chairman,Chủ tịch,
Vice Chairman,Phó chủ tịch,
Board Member,Thành viên HĐQT,
# ---- Currency / exchange ----
USD,Đô la Mỹ,
EUR,Euro,
JPY,Yên Nhật,
CNY,Nhân dân tệ,
KRW,Won Hàn Quốc,
THB,Bạt Thái,
SGD,Đô la Singapore,
GBP,Bảng Anh,
CAD,Đô la Canada,
AUD,Đô la Úc,
HKD,Đô la Hồng Kông,
INR,Rupee Ấn Độ,
Currency Conversion,Quy đổi tiền tệ,
Base Currency Setting,Cài đặt tiền cơ sở,
Currency Symbol,Ký hiệu tiền tệ,
Currency Name,Tên tiền tệ,
Currency Code,Mã tiền tệ,
Thousand Separator,Dấu phân cách nghìn,
Decimal Separator,Dấu phân cách thập phân,
# ---- More accounting ----
Balance Forward,Số dư mang sang,
Opening Amount,Số tiền đầu kỳ,
Closing Amount,Số tiền cuối kỳ,
Beginning Balance,Số dư đầu kỳ,
Ending Balance,Số dư cuối kỳ,
Running Balance,Số dư lũy kế,
Current Balance,Số dư hiện tại,
Account Balance,Số dư tài khoản,
Party Balance,Số dư đối tác,
Supplier Balance,Số dư NCC,
Customer Balance,Số dư khách hàng,
# ---- Budget ----
Budget Amount,Số tiền ngân sách,
Budget Category,Danh mục ngân sách,
Budget Period,Kỳ ngân sách,
Budget Owner,Chủ sở hữu ngân sách,
Budget Distribution,Phân phối ngân sách,
Budget Exceeded,Vượt ngân sách,
Budget Available,Ngân sách còn,
Budget Utilized,Ngân sách đã dùng,
Utilization Percentage,Tỷ lệ sử dụng,
# ---- Financial analytics ----
Revenue Growth,Tăng trưởng doanh thu,
Expense Growth,Tăng trưởng chi phí,
Profit Growth,Tăng trưởng lợi nhuận,
Margin Analysis,Phân tích biên lợi nhuận,
Trend Analysis,Phân tích xu hướng,
YoY Growth,Tăng trưởng năm trước,
MoM Growth,Tăng trưởng tháng trước,
QoQ Growth,Tăng trưởng quý trước,
Year on Year,So với năm trước,
Month on Month,So với tháng trước,
Quarter on Quarter,So với quý trước,
Year to Date,Từ đầu năm đến nay,
YTD,Từ đầu năm đến nay,
Month to Date,Từ đầu tháng đến nay,
MTD,Từ đầu tháng đến nay,
Quarter to Date,Từ đầu quý đến nay,
QTD,Từ đầu quý đến nay,
Same Period Last Year,Cùng kỳ năm trước,
Previous Period,Kỳ trước,
Current Period,Kỳ hiện tại,
Comparison Period,Kỳ so sánh,
Variance Analysis,Phân tích chênh lệch,
Variance Amount,Số tiền chênh lệch,
Variance Percentage,Phần trăm chênh lệch,
# ---- Cash flow ----
Operating Activities,Hoạt động kinh doanh,
Investing Activities,Hoạt động đầu tư,
Financing Activities,Hoạt động tài chính,
Operating Cash Flow,Dòng tiền HĐKD,
Investing Cash Flow,Dòng tiền HĐĐT,
Financing Cash Flow,Dòng tiền HĐTC,
Net Cash Flow,Dòng tiền thuần,
Free Cash Flow,Dòng tiền tự do,
Cash and Equivalents,Tiền và tương đương tiền,
Cash Reserves,Dự trữ tiền,
# ======================================================================
# BATCH 8: Reports + Analytics + System Admin
# ======================================================================
Report Type,Loại báo cáo,
Report Name,Tên báo cáo,
Standard Report,Báo cáo chuẩn,
Custom Report,Báo cáo tùy chỉnh,
Print Report,In báo cáo,
Email Report,Gửi báo cáo qua email,
Schedule Report,Lịch báo cáo,
Report Scheduler,Bộ lập lịch báo cáo,
Daily Report,Báo cáo hàng ngày,
Weekly Report,Báo cáo hàng tuần,
Monthly Report Detail,Báo cáo hàng tháng,
Quarterly Report Detail,Báo cáo hàng quý,
Yearly Report,Báo cáo hàng năm,
Auto Report,Báo cáo tự động,
Report Subscription,Đăng ký báo cáo,
Report Recipient,Người nhận báo cáo,
Report Format,Định dạng báo cáo,
PDF Format,Định dạng PDF,
Excel Format,Định dạng Excel,
CSV Format,Định dạng CSV,
HTML Format,Định dạng HTML,
JSON Format,Định dạng JSON,
# ---- Analytics / KPI ----
KPI Target,Mục tiêu KPI,
KPI Actual,KPI thực tế,
KPI Variance,Chênh lệch KPI,
KPI Performance,Hiệu suất KPI,
KPI Status,Trạng thái KPI,
Metric,Chỉ số,
Metrics,Chỉ số,
Measurement,Đo lường,
Benchmark,Chuẩn đối sánh,
Industry Benchmark,Chuẩn đối sánh ngành,
Leading Indicator,Chỉ số dẫn dắt,
Lagging Indicator,Chỉ số tụt hậu,
Critical Success Factor,Yếu tố thành công quan trọng,
CSF,Yếu tố thành công quan trọng,
Performance Indicator,Chỉ số hiệu suất,
Scorecard,Bảng điểm,
Balanced Scorecard,Thẻ điểm cân bằng,
Financial Perspective,Góc nhìn tài chính,
Customer Perspective,Góc nhìn khách hàng,
Internal Process,Quy trình nội bộ,
Learning and Growth,Học hỏi và phát triển,
# ---- Reports accounting ----
Profitability Analysis,Phân tích lợi nhuận,
Profitability Report,Báo cáo lợi nhuận,
Gross Profit Report,Báo cáo lãi gộp,
Item Profit,Lợi nhuận mặt hàng,
Customer Profit,Lợi nhuận khách hàng,
Product Profit,Lợi nhuận sản phẩm,
Profitability by Customer,Lợi nhuận theo KH,
Profitability by Item,Lợi nhuận theo mặt hàng,
Profitability by Warehouse,Lợi nhuận theo kho,
Profitability by Territory,Lợi nhuận theo khu vực,
Profitability by Salesperson,Lợi nhuận theo NVBH,
Sales Register,Sổ đăng ký bán hàng,
Sales Register Simple,Sổ đăng ký bán hàng đơn giản,
Sales Invoice Register,Sổ đăng ký hóa đơn bán hàng,
Purchase Register,Sổ đăng ký mua hàng,
Purchase Invoice Register,Sổ đăng ký hóa đơn mua hàng,
Delivery Note Register,Sổ đăng ký phiếu giao,
Purchase Receipt Register,Sổ đăng ký phiếu nhận,
Stock Balance Report,Báo cáo tồn kho,
Stock Ledger Detail,Chi tiết sổ kho,
Customer Ledger,Sổ khách hàng,
Supplier Ledger,Sổ nhà cung cấp,
Detailed Accounts Receivable,Chi tiết phải thu,
Detailed Accounts Payable,Chi tiết phải trả,
Outstanding Invoices,Hóa đơn chưa thanh toán,
Unpaid Invoices,Hóa đơn chưa trả,
Overdue Invoices,Hóa đơn quá hạn,
Paid Invoices,Hóa đơn đã trả,
Credit Note Report,Báo cáo ghi có,
Debit Note Report,Báo cáo ghi nợ,
Payment Summary,Tóm tắt thanh toán,
Receipt Summary,Tóm tắt biên nhận,
# ---- Report filters ----
As On Date,Tại ngày,
From Period,Từ kỳ,
To Period,Đến kỳ,
For Period,Cho kỳ,
Period,Kỳ,
Report Periodicity,Tần suất báo cáo,
Show Zero Balance,Hiển thị số dư 0,
Hide Zero Balance,Ẩn số dư 0,
Show Cumulative,Hiển thị lũy kế,
Hide Cumulative,Ẩn lũy kế,
Show Quantity,Hiển thị số lượng,
Hide Quantity,Ẩn số lượng,
Show in Days,Hiển thị theo ngày,
Show in Months,Hiển thị theo tháng,
Show in Quarters,Hiển thị theo quý,
Show in Years,Hiển thị theo năm,
Include Opening,Gồm số dư đầu,
Include Closing,Gồm số dư cuối,
Exclude Opening,Loại trừ số dư đầu,
Exclude Closing,Loại trừ số dư cuối,
Detailed View,Xem chi tiết,
Summary View,Xem tóm tắt,
Chart Only,Chỉ biểu đồ,
Table Only,Chỉ bảng,
Both,Cả hai,
# ---- System admin ----
Site Settings,Cài đặt trang,
System Logs,Nhật ký hệ thống,
Background Jobs,Công việc nền,
Active Jobs,Công việc đang chạy,
Pending Jobs,Công việc chờ,
Failed Jobs,Công việc thất bại,
Completed Jobs,Công việc hoàn thành,
Queue,Hàng đợi,
Queue Status,Trạng thái hàng đợi,
Long Job,Công việc dài,
Short Job,Công việc ngắn,
Worker,Worker,
Scheduler Status,Trạng thái bộ lập lịch,
Scheduler Running,Bộ lập lịch đang chạy,
Scheduler Stopped,Bộ lập lịch đã dừng,
Cache,Bộ nhớ đệm,
Clear Cache,Xóa bộ nhớ đệm,
Rebuild Cache,Xây lại bộ nhớ đệm,
Redis,Redis,
Database,Cơ sở dữ liệu,
DB Size,Kích thước CSDL,
DB Backup,Sao lưu CSDL,
DB Restore,Khôi phục CSDL,
Index,Chỉ mục,
Rebuild Index,Xây lại chỉ mục,
Migration,Di chuyển,
Migration Complete,Di chuyển hoàn tất,
Migration Failed,Di chuyển thất bại,
Rollback,Quay lại,
Rollback Complete,Quay lại hoàn tất,
# ---- Permissions ----
DocType Permission,Quyền DocType,
Role Permission,Quyền vai trò,
Document Permission,Quyền tài liệu,
Field Permission,Quyền trường,
Read Permission,Quyền đọc,
Write Permission,Quyền ghi,
Create Permission,Quyền tạo,
Delete Permission,Quyền xóa,
Submit Permission,Quyền xác nhận,
Cancel Permission,Quyền hủy,
Amend Permission,Quyền sửa đổi,
Print Permission,Quyền in,
Email Permission,Quyền email,
Export Permission,Quyền xuất,
Import Permission,Quyền nhập,
Share Permission,Quyền chia sẻ,
Report Permission,Quyền báo cáo,
Set User Permissions,Đặt quyền người dùng,
If Owner,Nếu là chủ sở hữu,
Permission Level,Cấp quyền,
Apply User Permissions,Áp dụng quyền người dùng,
# ---- Roles ----
System Manager,Quản trị hệ thống,
Administrator,Quản trị viên,
Website Manager,Quản trị website,
Accounts User,Nhân viên kế toán,
Accounts Manager,Quản lý kế toán,
Stock User,Nhân viên kho,
Stock Manager,Quản lý kho,
Sales User,Nhân viên bán hàng,
Sales Manager,Quản lý bán hàng,
Purchase User,Nhân viên mua hàng,
Purchase Manager,Quản lý mua hàng,
HR User,Nhân viên nhân sự,
HR Manager,Quản lý nhân sự,
Maintenance User,Nhân viên bảo trì,
Projects User,Nhân viên dự án,
Projects Manager,Quản lý dự án,
Manufacturing User,Nhân viên sản xuất,
Manufacturing Manager,Quản lý sản xuất,
Support Team,Đội hỗ trợ,
# ---- Settings ----
Navbar Settings,Cài đặt thanh điều hướng,
Email Settings,Cài đặt email,
SMS Settings,Cài đặt SMS,
Print Settings,Cài đặt in,
Number Format Settings,Cài đặt định dạng số,
Date Format Settings,Cài đặt định dạng ngày,
Localization Settings,Cài đặt bản địa hóa,
Company Defaults,Mặc định công ty,
Stock Settings Detail,Cài đặt kho chi tiết,
Buying Settings Detail,Cài đặt mua hàng chi tiết,
Selling Settings Detail,Cài đặt bán hàng chi tiết,
Accounts Settings Detail,Cài đặt kế toán chi tiết,
HR Settings Detail,Cài đặt nhân sự chi tiết,
# ---- Integration ----
Integration,Tích hợp,
API,API,
REST API,REST API,
Webhook,Webhook,
Webhooks,Webhooks,
Webhook URL,URL Webhook,
Webhook Secret,Bí mật Webhook,
OAuth,OAuth,
OAuth Client,OAuth Client,
OAuth Provider,Nhà cung cấp OAuth,
OAuth Settings,Cài đặt OAuth,
Client Secret,Bí mật client,
Client ID,ID client,
Access Token,Token truy cập,
Refresh Token,Token làm mới,
Token Expiry,Hết hạn token,
Scope,Phạm vi,
Redirect URI,URI chuyển hướng,
Authorize,Ủy quyền,
Revoke,Thu hồi,
Disconnect,Ngắt kết nối,
Connect,Kết nối,
Test Connection,Kiểm tra kết nối,
Connection Successful,Kết nối thành công,
Connection Failed,Kết nối thất bại,
Sync,Đồng bộ,
Sync Now,Đồng bộ ngay,
Last Sync,Lần đồng bộ cuối,
Next Sync,Lần đồng bộ tiếp theo,
Sync Status,Trạng thái đồng bộ,
Sync Error,Lỗi đồng bộ,
Sync Successful,Đồng bộ thành công,
# ---- Notifications ----
Notification Type,Loại thông báo,
System Alert,Cảnh báo hệ thống,
Email Notification,Thông báo email,
SMS Notification,Thông báo SMS,
Push Notification,Thông báo đẩy,
Desktop Notification,Thông báo màn hình,
Mobile Notification,Thông báo di động,
Notification Rule,Quy tắc thông báo,
Notification Frequency,Tần suất thông báo,
Real Time,Thời gian thực,
Batched,Theo lô,
Instant,Tức thì,
Delay,Trễ,
Delayed,Đã trễ,
Subscribed Notifications,Thông báo đã đăng ký,
Muted Notifications,Thông báo đã tắt,
# ---- Error handling ----
Error Code,Mã lỗi,
Error Message,Thông báo lỗi,
Error Type,Loại lỗi,
Error Trace,Dấu vết lỗi,
Stack Trace,Ngăn xếp lỗi,
Exception,Ngoại lệ,
Exception Type,Loại ngoại lệ,
Warning Type,Loại cảnh báo,
Info Message,Thông báo,
Debug Info,Thông tin gỡ lỗi,
# ---- Data types ----
String,Chuỗi,
Integer,Số nguyên,
Decimal,Số thập phân,
Float,Số thực,
Boolean,Luận lý,
True,Đúng,
False,Sai,
Null,Rỗng,
Empty,Trống,
Not Empty,Không trống,
Defined,Đã định nghĩa,
Undefined,Chưa định nghĩa,
Array,Mảng,
Object,Đối tượng,
List,Danh sách,
Dictionary,Từ điển,
Map,Bản đồ,
Set,Tập hợp,
# ---- Validation messages ----
Value Changed,Giá trị đã thay đổi,
No Changes,Không có thay đổi,
Changes Detected,Đã phát hiện thay đổi,
Unsaved Changes,Thay đổi chưa lưu,
Discard Changes,Bỏ thay đổi,
Keep Changes,Giữ thay đổi,
Save Changes,Lưu thay đổi,
Values Updated,Đã cập nhật giá trị,
Conflicting Values,Giá trị xung đột,
Dependency Error,Lỗi phụ thuộc,
Circular Reference,Tham chiếu vòng,
# ======================================================================
# BATCH 9: Non-profit + Agriculture + Restaurant + Hotel + Misc
# ======================================================================
# ---- Non-profit ----
Donor,Nhà tài trợ,
Donors,Nhà tài trợ,
Donor Name,Tên nhà tài trợ,
Donor Type,Loại nhà tài trợ,
Donation,Quyên góp,
Donations,Quyên góp,
Donation Amount,Số tiền quyên góp,
Donation Date,Ngày quyên góp,
Recurring Donation,Quyên góp định kỳ,
One Time Donation,Quyên góp một lần,
In Kind Donation,Quyên góp hiện vật,
Anonymous Donation,Quyên góp ẩn danh,
Donor Information,Thông tin nhà tài trợ,
Grant,Tài trợ,
Grant Application,Đơn xin tài trợ,
Grant Amount,Số tiền tài trợ,
Grant Status,Trạng thái tài trợ,
Grant Period,Thời gian tài trợ,
Member,Thành viên,
Members,Thành viên,
Member Name,Tên thành viên,
Member Since,Thành viên từ,
Membership,Thành viên,
Membership Type,Loại thành viên,
Membership Fee,Phí thành viên,
Membership Status,Trạng thái thành viên,
Volunteer,Tình nguyện viên,
Volunteers,Tình nguyện viên,
Volunteer Name,Tên TNV,
Volunteer Type,Loại TNV,
Volunteer Hours,Giờ tình nguyện,
Volunteer Skills,Kỹ năng TNV,
Chapter,Chi hội,
Chapter Name,Tên chi hội,
Chapter Head,Trưởng chi hội,
Committee,Ủy ban,
Committee Member,Thành viên ủy ban,
Fundraising,Gây quỹ,
Fundraising Event,Sự kiện gây quỹ,
Campaign Goal,Mục tiêu chiến dịch,
Funds Raised,Quỹ đã gây,
Funds Needed,Quỹ cần,
Beneficiary,Người hưởng lợi,
Beneficiaries,Người hưởng lợi,
Impact,Tác động,
Impact Area,Lĩnh vực tác động,
Mission,Sứ mệnh,
Vision,Tầm nhìn,
Values,Giá trị,
# ---- Agriculture ----
Crop,Cây trồng,
Crops,Cây trồng,
Crop Name,Tên cây trồng,
Crop Type,Loại cây trồng,
Crop Category,Danh mục cây trồng,
Crop Cycle,Chu kỳ cây trồng,
Sowing Date,Ngày gieo trồng,
Harvest Date,Ngày thu hoạch,
Harvest Yield,Sản lượng thu hoạch,
Expected Yield,Sản lượng dự kiến,
Actual Yield,Sản lượng thực tế,
Growing Period,Thời gian sinh trưởng,
Planting,Trồng,
Irrigation,Tưới tiêu,
Fertilization,Bón phân,
Pest Control,Phòng trừ sâu bệnh,
Harvest,Thu hoạch,
Post Harvest,Sau thu hoạch,
Land Area,Diện tích đất,
Field,Cánh đồng,
Plot,Lô đất,
Farm,Nông trại,
Farm Location,Vị trí nông trại,
Soil Type,Loại đất,
Soil Condition,Tình trạng đất,
Water Source,Nguồn nước,
Weather,Thời tiết,
Rainfall,Lượng mưa,
Seeds,Hạt giống,
Seed Variety,Giống,
Seedling,Cây con,
Fertilizer,Phân bón,
Pesticide,Thuốc trừ sâu,
Herbicide,Thuốc diệt cỏ,
Fungicide,Thuốc diệt nấm,
Animal,Động vật,
Animals,Động vật,
Livestock,Gia súc,
Poultry,Gia cầm,
Herd,Đàn,
Cattle,Trâu bò,
Pig,Heo,
Chicken,Gà,
Duck,Vịt,
Cow,Bò,
Buffalo,Trâu,
Sheep,Cừu,
Goat,Dê,
# ---- Restaurant ----
Restaurant,Nhà hàng,
Menu Item,Món ăn,
Menu Category,Danh mục menu,
Appetizer,Khai vị,
Main Course,Món chính,
Dessert,Món tráng miệng,
Beverage,Đồ uống,
Vegetarian,Chay,
Non Vegetarian,Mặn,
Spicy,Cay,
Not Spicy,Không cay,
Mild,Nhẹ,
Medium Spicy,Cay vừa,
Extra Spicy,Rất cay,
Gluten Free,Không chứa gluten,
Allergen,Chất gây dị ứng,
Ingredient,Nguyên liệu,
Ingredients,Nguyên liệu,
Recipe,Công thức,
Recipes,Công thức,
Recipe Name,Tên công thức,
Cooking Time,Thời gian nấu,
Serving Size,Khẩu phần,
Calories,Calo,
Nutrition,Dinh dưỡng,
Table,Bàn,
Table Number,Số bàn,
Table Status,Trạng thái bàn,
Occupied,Đang sử dụng,
Available Table,Bàn trống,
Reserved,Đã đặt trước,
Cleaning,Đang dọn dẹp,
Waiter,Phục vụ,
Chef,Đầu bếp,
Kitchen,Bếp,
Order Ticket,Phiếu order,
Dine In,Dùng tại chỗ,
Take Away,Mang đi,
Delivery Order,Đơn giao hàng,
Takeout,Mang đi,
# ---- Hotel ----
Hotel,Khách sạn,
Guest,Khách,
Guests,Khách,
Guest Name,Tên khách,
Guest ID,Mã khách,
Reservation,Đặt phòng,
Reservations,Đặt phòng,
Reservation Number,Số đặt phòng,
Reservation Date,Ngày đặt phòng,
Check In Date,Ngày nhận phòng,
Check Out Date,Ngày trả phòng,
Nights,Số đêm,
Guest Count,Số khách,
Adults,Người lớn,
Children,Trẻ em,
Room Number,Số phòng,
Room Type,Loại phòng,
Single Room,Phòng đơn,
Double Room,Phòng đôi,
Twin Room,Phòng twin,
Suite,Phòng suite,
Family Room,Phòng gia đình,
Deluxe,Deluxe,
VIP Room,Phòng VIP,
Room Rate,Giá phòng,
Room Amenities,Tiện nghi phòng,
Bed Type,Loại giường,
King Bed,Giường king,
Queen Bed,Giường queen,
Single Bed,Giường đơn,
Sea View,View biển,
Mountain View,View núi,
City View,View thành phố,
Garden View,View vườn,
Pool View,View hồ bơi,
Check In Hotel,Nhận phòng,
Check Out Hotel,Trả phòng,
Late Check In,Nhận phòng trễ,
Early Check Out,Trả phòng sớm,
Room Service,Dịch vụ phòng,
Housekeeping,Dọn phòng,
Laundry Service,Dịch vụ giặt ủi,
Concierge,Concierge,
Airport Transfer,Đưa đón sân bay,
Transportation Service,Dịch vụ đưa đón,
Breakfast Included,Kèm bữa sáng,
Breakfast Not Included,Không kèm bữa sáng,
Meal Plan,Gói bữa ăn,
Half Board,Bán phần,
Full Board,Toàn phần,
All Inclusive,Trọn gói,
